Record datetime: 2025-09-14 17:53:29.823497
Timestamp,Fp1,Fp2,AF3,AF4,F3,Fz,F4,FC3,FCz,FC4,C3,Cz,C4,CP3,CPz,CP4,P3,Pz,P4,O1,Oz,O2
0.176,-9877.19,-2228.56,724.55,3570.38,-73.36,4251.26,-1441.29,4967.81,20851.67,9251.83,4402.49,9327.29,9284.96,-838.77,109.93,24528.54,-2024.89,-5138.49,-3705.96,586.42,11987.82,736.22
0.178,-9882.42,-2238.84,701.62,3553.75,-108.94,4210.0,-1478.93,4951.27,20832.36,9231.72,4390.82,9309.46,9271.28,-845.83,86.28,24533.59,-2120.15,-5187.21,-3712.04,557.63,11990.5,728.09
0.180,-9883.76,-2242.06,687.72,3547.62,-128.79,4182.73,-1501.37,4945.23,20825.61,9224.97,4383.22,9296.27,9267.44,-845.79,72.02,24546.82,-2182.96,-5211.8,-3709.0,543.33,12010.58,734.66
0.182,-9881.93,-2238.04,684.41,3550.84,-131.79,4179.69,-1501.86,4948.5,20832.54,9232.79,4384.56,9297.88,9273.07,-839.8,72.64,24559.38,-2194.85,-5217.08,-3699.62,530.45,12010.17,742.66
0.184,-9874.82,-2225.83,689.51,3558.98,-129.37,4184.38,-1497.08,4952.48,20838.53,9243.47,4386.84,9305.12,9281.52,-833.94,77.96,24570.92,-2202.14,-5214.3,-3691.35,534.25,11992.2,741.18
0.186,-9864.81,-2210.68,717.85,3580.21,-88.24,4226.98,-1457.38,4972.95,20861.29,9263.86,4400.92,9321.88,9295.11,-820.31,102.33,24569.17,-2102.45,-5167.32,-3681.15,575.02,12016.21,758.66
0.188,-9865.43,-2208.62,733.94,3586.47,-65.8,4257.43,-1432.66,4975.45,20867.37,9266.77,4402.22,9327.34,9294.21,-826.75,108.9,24548.65,-2037.23,-5146.53,-3690.9,584.32,11995.29,745.65
0.190,-9873.08,-2215.86,736.09,3582.85,-59.5,4274.46,-1423.22,4970.27,20866.52,9262.92,4399.32,9329.57,9288.63,-840.2,109.93,24527.87,-1998.47,-5133.93,-3704.22,578.64,11954.92,731.48
0.192,-9877.95,-2222.7,721.78,3572.3,-81.63,4255.68,-1444.19,4955.74,20853.02,9250.05,4392.7,9323.99,9282.68,-852.05,100.05,24527.42,-2050.68,-5153.46,-3709.45,584.23,11967.75,732.15
0.194,-9885.68,-2234.15,703.99,3559.2,-105.01,4226.31,-1469.0,4943.8,20839.38,9236.23,4381.66,9308.07,9273.78,-859.74,84.44,24530.73,-2110.0,-5178.32,-3711.55,581.37,12000.61,741.09
0.196,-9893.15,-2243.0,685.8,3547.22,-130.85,4193.23,-1495.47,4933.66,20826.6,9223.98,4370.57,9290.5,9265.07,-863.36,65.85,24539.31,-2184.03,-5213.95,-3713.38,554.46,12004.36,731.8
0.198,-9892.93,-2243.85,677.21,3544.0,-140.86,4179.24,-1507.31,4932.9,20824.18,9221.75,4366.23,9281.61,9262.38,-862.55,54.67,24545.26,-2218.23,-5233.93,-3715.93,521.65,11989.12,714.85
0.200,-9889.89,-2238.39,679.9,3547.94,-135.81,4182.15,-1502.98,4934.77,20826.73,9226.71,4361.67,9277.58,9262.83,-867.69,48.64,24544.58,-2221.63,-5238.0,-3718.62,527.59,12017.15,720.44
0.202,-9886.71,-2231.78,687.99,3554.78,-126.6,4193.72,-1491.13,4934.01,20827.18,9230.87,4357.52,9277.23,9263.5,-876.95,44.88,24538.64,-2221.54,-5240.19,-3723.85,544.4,12033.51,723.66
0.204,-9874.64,-2215.68,715.39,3574.94,-89.18,4232.71,-1454.38,4951.49,20844.97,9249.96,4371.46,9294.93,9276.11,-866.44,67.1,24534.57,-2141.16,-5197.27,-3718.75,566.44,12018.67,726.79
0.206,-9872.05,-2209.56,732.65,3584.55,-65.85,4265.16,-1427.96,4960.79,20856.01,9260.42,4385.1,9314.2,9286.03,-858.22,90.48,24529.43,-2062.98,-5159.63,-3711.86,595.18,12011.34,732.24
0.208,-9879.43,-2216.26,728.13,3579.77,-69.34,4266.99,-1428.68,4958.47,20853.37,9255.9,4389.35,9320.36,9284.96,-857.06,99.06,24524.02,-2034.9,-5146.13,-3712.98,597.28,11992.56,727.95
0.210,-9883.67,-2224.8,714.5,3569.17,-89.32,4241.29,-1451.7,4951.0,20841.62,9243.12,4386.66,9312.68,9278.25,-857.77,89.32,24527.87,-2082.47,-5168.22,-3714.5,574.48,11986.35,722.68
0.212,-9886.0,-2232.09,696.66,3557.73,-115.92,4206.87,-1483.75,4942.28,20827.18,9228.14,4378.89,9297.34,9268.37,-859.47,70.59,24535.87,-2159.4,-5204.96,-3717.59,549.76,11987.55,714.54
0.214,-9888.5,-2237.59,683.07,3549.86,-131.2,4183.93,-1502.98,4939.11,20820.25,9220.59,4371.78,9284.65,9261.62,-861.08,55.57,24540.16,-2204.55,-5228.39,-3721.21,531.12,11999.13,713.38
0.216,-9888.68,-2238.53,677.3,3546.06,-137.06,4175.57,-1509.73,4937.63,20820.65,9221.48,4368.6,9281.11,9260.82,-862.33,48.77,24542.17,-2226.55,-5241.39,-3723.8,512.12,11994.75,706.09
0.218,-9881.53,-2229.72,687.36,3555.0,-123.74,4189.12,-1494.8,4944.79,20828.52,9233.46,4372.85,9287.87,9269.09,-857.5,55.92,24546.37,-2204.15,-5227.27,-3719.2,539.44,12008.16,714.63
0.220,-9876.7,-2222.93,703.45,3564.39,-102.01,4213.48,-1471.33,4949.7,20834.91,9241.91,4375.18,9293.23,9272.4,-861.35,63.84,24536.4,-2153.55,-5207.69,-3721.21,553.25,12009.37,720.71
0.222,-9875.31,-2219.57,721.11,3574.31,-75.41,4248.08,-1441.96,4957.08,20845.19,9251.61,4380.99,9305.79,9276.91,-861.75,80.24,24524.07,-2077.82,-5172.01,-3721.25,574.35,12007.76,725.36
0.224,-9884.88,-2227.13,716.46,3568.55,-81.05,4253.18,-1442.72,4951.05,20841.62,9247.32,4382.42,9312.05,9275.88,-866.04,87.26,24516.24,-2056.76,-5162.45,-3724.87,575.6,11984.56,714.94
0.226,-9892.52,-2234.01,703.32,3558.58,-99.55,4233.47,-1461.98,4941.7,20832.09,9236.14,4377.63,9305.08,9269.85,-870.65,80.15,24516.02,-2091.45,-5176.49,-3727.6,554.14,11968.29,709.76
0.228,-9904.19,-2246.89,682.53,3543.56,-126.6,4201.73,-1489.7,4928.16,20818.59,9220.54,4364.85,9288.98,9259.84,-877.4,62.76,24519.6,-2155.51,-5207.33,-3729.34,534.83,11976.2,710.7
0.230,-9903.92,-2248.14,669.12,3538.33,-148.24,4174.68,-1511.16,4921.76,20811.75,9215.58,4357.83,9278.48,9257.15,-876.5,48.91,24534.53,-2225.16,-5236.75,-3725.5,517.13,11988.89,712.48
0.232,-9899.1,-2243.0,668.36,3543.11,-149.35,4171.95,-1511.38,4927.35,20817.88,9222.64,4360.11,9280.22,9262.03,-869.21,49.49,24546.06,-2233.88,-5239.61,-3719.29,511.45,11994.3,712.08
