Serial Number,Fp1,Fp2,AF3,AF4,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T7,C3,Cz,C4,T8,TP7,CP3,CPz,CP4,TP8,P7,P3,Pz,P4,P8,O1,Oz,O2
1878203,10945.2,8857.19,10978.28,4107.76,26137.5,4849.39,12897.31,2578.77,12293.64,11328.58,12819.66,10298.92,-1295.91,20063.1,-366.66,4835.26,4012.54,9240.3,8951.74,9208.29,7649.17,7489.44,2163.78,22787.78,9594.98,5741.76,6246.15,4245.18,7775.77,6997.12,12381.88,7451.04
1878204,10985.57,8918.52,11016.19,4128.95,26172.51,4886.45,12931.29,2607.2,12291.94,11380.26,12857.17,10334.46,-1256.44,20039.19,-324.95,4875.9,4046.16,9273.29,8895.9,9244.06,7687.03,7522.48,2195.97,22747.33,9623.99,5772.25,6275.12,4278.93,7808.4,7033.6,12409.82,7471.88
1878205,10933.62,8905.69,10964.38,4073.43,26116.94,4834.68,12879.88,2554.8,12252.91,11327.1,12803.12,10281.71,-1305.83,19990.01,-373.45,4821.09,3993.94,9222.96,8851.42,9185.05,7627.62,7470.8,2146.48,22677.99,9511.11,5714.67,6229.21,4231.95,7814.44,7011.92,12373.97,7458.91
1878206,10883.87,8859.83,10913.06,4031.18,26072.91,4784.75,12828.74,2501.52,12222.65,11274.49,12751.85,10231.91,-1367.08,19963.82,-433.27,4767.31,3943.47,9163.28,8865.95,9166.27,7576.17,7421.09,2089.89,22679.96,9491.8,5671.71,6180.84,4173.47,7783.82,6944.15,12320.33,7421.94
1878207,10847.57,8765.95,10878.86,4031.99,26049.44,4754.89,12803.84,2482.97,12194.04,11242.53,12721.18,10211.13,-1383.13,19937.93,-450.48,4737.01,3922.87,9151.88,8830.86,9122.51,7547.65,7400.57,2080.32,22667.49,9464.04,5641.58,6159.65,4163.86,7773.58,6917.82,12284.03,7383.27
1878208,10841.76,8773.01,10875.87,3999.44,26057.8,4754.57,12797.98,2476.35,12177.54,11240.11,12721.99,10211.17,-1379.86,19953.94,-415.25,4741.16,3925.01,9163.95,8781.15,9115.22,7553.86,7403.48,2091.27,22668.87,9478.26,5648.91,6165.46,4175.13,7786.54,6924.17,12285.77,7386.36
1878209,10847.3,8812.58,10883.02,3983.93,26066.34,4764.01,12804.02,2481.98,12227.7,11235.51,12730.44,10221.94,-1367.17,19982.73,-429.73,4750.06,3936.14,9182.28,8768.5,9147.0,7564.05,7415.77,2106.12,22679.78,9470.39,5658.3,6178.11,4188.49,7790.75,6939.64,12293.59,7391.63
1878210,10853.74,8860.28,10887.67,3984.15,26062.18,4767.22,12805.67,2482.34,12216.3,11245.79,12733.7,10224.18,-1368.06,19959.03,-441.27,4753.28,3938.29,9179.55,8783.34,9173.16,7571.39,7419.84,2106.29,22677.68,9507.36,5672.96,6184.73,4189.39,7787.93,6967.53,12311.52,7400.44
1878211,10865.76,8824.69,10895.4,4019.87,26061.02,4770.85,12812.82,2517.48,12236.6,11262.11,12735.44,10224.63,-1354.52,19921.62,-416.14,4752.92,3934.44,9170.34,8858.26,9174.54,7564.68,7410.77,2094.98,22672.31,9506.69,5665.94,6174.22,4177.54,7773.76,6957.87,12305.04,7381.84
1878212,10875.51,8739.71,10901.44,4095.78,26055.56,4771.92,12825.21,2574.65,12258.5,11263.18,12733.25,10227.49,-1326.58,19920.95,-419.63,4748.14,3931.58,9167.3,8964.88,9151.39,7558.56,7403.79,2087.25,22729.44,9496.72,5659.64,6165.51,4169.85,7766.65,6946.97,12299.41,7373.13
1878213,10879.13,8782.27,10905.24,4103.69,26050.42,4774.29,12829.54,2556.19,12246.12,11256.25,12735.22,10232.94,-1343.52,20004.41,-432.01,4750.06,3937.71,9172.4,8956.57,9166.45,7565.31,7410.94,2096.06,22757.12,9503.6,5666.88,6168.77,4175.89,7768.84,6940.26,12294.0,7350.59
1878214,10893.84,8845.7,10920.97,4103.38,26056.99,4789.93,12845.15,2551.45,12202.09,11264.47,12751.67,10254.71,-1324.65,20032.13,-434.74,4768.25,3962.34,9210.04,8902.39,9198.59,7592.35,7437.77,2134.99,22806.69,9550.81,5700.77,6196.84,4215.94,7793.83,6960.38,12314.02,7367.94
1878215,10887.36,8902.16,10914.76,4062.34,26060.44,4786.72,12836.25,2522.22,12169.09,11263.89,12748.76,10250.33,-1331.99,20010.58,-422.49,4765.93,3958.85,9209.9,8883.52,9196.49,7587.3,7435.44,2142.19,22833.25,9551.17,5691.96,6195.05,4233.82,7792.85,6965.52,12305.31,7349.39
1878216,10869.7,8930.01,10898.71,4028.95,26055.38,4770.67,12816.04,2500.18,12256.22,11251.78,12730.53,10228.52,-1362.25,19926.09,-427.05,4748.36,3934.53,9176.11,8801.94,9155.5,7566.65,7411.97,2104.37,22767.67,9510.71,5668.13,6172.79,4190.06,7769.15,6931.77,12293.37,7371.25
1878217,10857.76,8853.79,10887.49,4049.51,26055.38,4761.77,12807.46,2521.99,12314.29,11247.49,12719.35,10224.22,-1365.51,19900.16,-431.48,4737.41,3926.04,9162.52,8790.58,9128.72,7551.94,7400.39,2081.39,22682.28,9459.79,5651.24,6156.43,4162.57,7753.33,6872.67,12252.38,7370.62
1878218,10857.32,8823.08,10880.56,4046.02,26051.45,4752.34,12792.13,2492.04,12247.01,11237.97,12707.77,10209.79,-1398.82,19922.07,-448.82,4726.95,3909.99,9129.75,8834.84,9130.91,7542.73,7386.63,2054.8,22646.7,9469.81,5644.04,6147.13,4145.58,7754.09,6879.55,12249.83,7362.62
1878219,10868.49,8885.53,10887.27,4001.77,26057.08,4755.24,12793.02,2470.94,12198.06,11243.64,12709.83,10206.48,-1405.57,19942.45,-462.19,4727.62,3907.58,9127.16,8871.01,9126.66,7544.43,7385.6,2057.84,22675.76,9485.1,5650.88,6151.69,4150.18,7767.19,6907.9,12275.67,7383.9
1878220,10881.99,8918.39,10893.21,3988.98,26052.08,4754.66,12792.53,2462.85,12192.47,11246.19,12707.55,10203.03,-1409.77,19940.3,-462.1,4722.74,3902.88,9125.73,8856.7,9123.13,7539.87,7380.5,2057.75,22681.03,9479.46,5647.84,6144.76,4147.19,7762.81,6902.04,12275.98,7380.05
1878221,10876.49,8915.66,10884.32,3977.9,26042.06,4745.14,12779.79,2452.61,12175.58,11242.44,12696.77,10190.83,-1423.22,19924.93,-454.01,4714.07,3890.28,9112.94,8835.78,9119.33,7533.61,7369.1,2046.7,22673.43,9491.36,5646.45,6136.67,4139.68,7746.18,6887.29,12271.51,7372.9
1878222,10877.39,8932.61,10886.1,3977.22,26052.66,4749.88,12783.28,2464.82,12209.91,11252.85,12704.69,10198.16,-1413.3,19919.87,-425.4,4728.78,3898.95,9124.56,8850.44,9155.99,7554.13,7378.71,2061.01,22702.13,9559.3,5669.12,6146.91,4155.14,7742.33,6901.46,12269.77,7357.57
1878223,10886.15,8946.06,10896.12,4010.48,26065.22,4759.27,12797.45,2497.14,12248.85,11252.09,12714.39,10214.43,-1396.36,19927.52,-449.67,4738.66,3913.25,9140.43,8898.01,9170.03,7569.42,7394.54,2078.04,22757.12,9567.13,5688.12,6165.19,4168.65,7744.16,6975.13,12284.79,7364.45
1878224,10885.34,8963.85,10897.64,4053.18,26068.03,4759.13,12806.25,2515.64,12231.95,11231.8,12708.22,10225.7,-1369.8,19980.72,-502.06,4723.73,3921.17,9173.51,8907.8,9104.76,7549.48,7399.05,2103.79,22785.41,9506.47,5661.74,6164.66,4196.94,7723.02,6919.61,12269.32,7366.55
1878225,10886.46,9003.46,10899.74,4065.87,26070.94,4760.74,12813.54,2518.64,12261.99,11224.11,12707.95,10230.44,-1354.38,20026.05,-486.91,4722.43,3922.78,9192.96,8931.62,9079.82,7545.64,7398.56,2117.78,22822.43,9478.7,5656.82,6161.12,4208.12,7702.41,6894.13,12277.05,7401.02
1878226,10907.79,9021.79,10915.74,4057.24,26091.55,4775.9,12823.6,2526.6,12280.41,11244.09,12721.9,10244.3,-1349.33,20006.24,-461.25,4738.39,3935.56,9193.81,8925.54,9115.0,7560.75,7413.31,2124.98,22830.03,9478.84,5673.28,6174.13,4213.8,7759.54,6904.05,12281.84,7413.81
1878227,10898.53,9017.27,10899.78,4024.07,26076.89,4756.14,12800.44,2494.23,12241.34,11241.05,12699.77,10219.49,-1388.13,19940.8,-475.73,4716.8,3910.8,9148.35,8841.5,9135.07,7542.15,7388.99,2078.0,22710.09,9477.09,5665.54,6158.31,4171.42,7735.27,6883.62,12268.65,7406.97
1878228,10901.53,9044.5,10897.64,4012.76,26065.67,4749.16,12794.41,2494.37,12231.01,11250.88,12692.84,10210.99,-1394.35,19932.79,-472.47,4712.24,3901.63,9138.56,8816.82,9148.79,7543.89,7377.82,2060.52,22669.9,9504.23,5675.06,6144.99,4147.1,7712.6,6855.46,12251.35,7400.71
1878229,10920.79,9085.89,10912.39,4031.67,26064.37,4760.88,12808.8,2512.87,12235.88,11268.81,12706.88,10224.54,-1377.05,19946.96,-449.94,4731.19,3914.42,9158.22,8837.39,9186.34,7570.98,7393.78,2083.9,22697.7,9595.43,5706.62,6159.87,4175.89,7696.73,6894.89,12284.74,7420.51
1878230,10932.95,9116.96,10919.32,4055.68,26079.3,4765.39,12814.66,2519.27,12258.64,11276.14,12711.35,10229.23,-1376.06,19881.7,-436.26,4737.05,3917.77,9154.78,8816.6,9188.13,7574.47,7398.25,2076.43,22705.26,9614.6,5706.67,6170.33,4163.82,7719.53,6952.47,12308.61,7415.91
1878231,10933.76,9142.8,10913.82,4067.03,26074.74,4753.37,12808.04,2530.31,12305.84,11252.81,12692.97,10222.3,-1382.05,19815.18,-483.96,4709.65,3906.15,9140.03,8752.76,9089.74,7534.73,7382.38,2061.46,22640.08,9430.6,5655.62,6149.72,4144.15,7734.96,6947.01,12292.07,7416.71
1878232,10949.0,9179.15,10927.99,4093.54,26089.45,4764.5,12822.44,2549.89,12286.13,11257.41,12701.74,10238.44,-1351.65,19981.16,-499.96,4714.74,3919.87,9175.93,8790.63,9077.45,7536.52,7392.66,2086.49,22633.69,9438.92,5649.81,6154.64,4173.88,7729.77,6899.04,12274.86,7447.42
